pokemon_name,id,BST,gen_num,classification
bulbasaur,1,318,Gen 1,standard
charmander,4,309,Gen 1,standard
squirtle,7,314,Gen 1,standard
caterpie,10,195,Gen 1,standard
weedle,13,195,Gen 1,standard
pidgey,16,251,Gen 1,standard
rattata,19,253,Gen 1,standard
spearow,21,262,Gen 1,standard
ekans,23,288,Gen 1,standard
sandshrew,27,300,Gen 1,standard
nidoran-f,29,275,Gen 1,standard
nidoran-m,32,273,Gen 1,standard
vulpix,37,299,Gen 1,standard
zubat,41,245,Gen 1,standard
oddish,43,320,Gen 1,standard
paras,46,285,Gen 1,standard
venonat,48,305,Gen 1,standard
diglett,50,265,Gen 1,standard
meowth,52,290,Gen 1,standard
psyduck,54,320,Gen 1,standard
mankey,56,305,Gen 1,standard
growlithe,58,350,Gen 1,standard
poliwag,60,300,Gen 1,standard
abra,63,310,Gen 1,standard
machop,66,305,Gen 1,standard
bellsprout,69,300,Gen 1,standard
tentacool,72,335,Gen 1,standard
geodude,74,300,Gen 1,standard
venusaur,3,525,Gen 1,standard
charmeleon,5,405,Gen 1,standard
charizard,6,534,Gen 1,standard
wartortle,8,405,Gen 1,standard
blastoise,9,530,Gen 1,standard
metapod,11,205,Gen 1,standard
butterfree,12,395,Gen 1,standard
kakuna,14,205,Gen 1,standard
beedrill,15,395,Gen 1,standard
pidgeotto,17,349,Gen 1,standard
pidgeot,18,479,Gen 1,standard
raticate,20,413,Gen 1,standard
fearow,22,442,Gen 1,standard
arbok,24,448,Gen 1,standard
pikachu,25,320,Gen 1,standard
raichu,26,485,Gen 1,standard
sandslash,28,450,Gen 1,standard
nidorina,30,365,Gen 1,standard
nidoqueen,31,505,Gen 1,standard
nidorino,33,365,Gen 1,standard
nidoking,34,505,Gen 1,standard
clefairy,35,323,Gen 1,standard
clefable,36,483,Gen 1,standard
ninetales,38,505,Gen 1,standard
jigglypuff,39,270,Gen 1,standard
wigglytuff,40,435,Gen 1,standard
golbat,42,455,Gen 1,standard
gloom,44,395,Gen 1,standard
vileplume,45,490,Gen 1,standard
parasect,47,405,Gen 1,standard
venomoth,49,450,Gen 1,standard
dugtrio,51,425,Gen 1,standard
persian,53,440,Gen 1,standard
golduck,55,500,Gen 1,standard
primeape,57,455,Gen 1,standard
arcanine,59,555,Gen 1,standard
poliwhirl,61,385,Gen 1,standard
poliwrath,62,510,Gen 1,standard
kadabra,64,400,Gen 1,standard
alakazam,65,500,Gen 1,standard
machoke,67,405,Gen 1,standard
machamp,68,505,Gen 1,standard
weepinbell,70,390,Gen 1,standard
victreebel,71,490,Gen 1,standard
tentacruel,73,515,Gen 1,standard
graveler,75,390,Gen 1,standard
ponyta,77,410,Gen 1,standard
slowpoke,79,315,Gen 1,standard
magnemite,81,325,Gen 1,standard
farfetchd,83,377,Gen 1,standard
doduo,84,310,Gen 1,standard
seel,86,325,Gen 1,standard
grimer,88,325,Gen 1,standard
shellder,90,305,Gen 1,standard
gastly,92,310,Gen 1,standard
onix,95,385,Gen 1,standard
drowzee,96,328,Gen 1,standard
krabby,98,325,Gen 1,standard
voltorb,100,330,Gen 1,standard
exeggcute,102,325,Gen 1,standard
cubone,104,320,Gen 1,standard
lickitung,108,385,Gen 1,standard
koffing,109,340,Gen 1,standard
rhyhorn,111,345,Gen 1,standard
tangela,114,435,Gen 1,standard
kangaskhan,115,490,Gen 1,standard
horsea,116,295,Gen 1,standard
goldeen,118,320,Gen 1,standard
staryu,120,340,Gen 1,standard
scyther,123,500,Gen 1,standard
pinsir,127,500,Gen 1,standard
tauros,128,490,Gen 1,standard
magikarp,129,200,Gen 1,standard
lapras,131,535,Gen 1,standard
ditto,132,288,Gen 1,standard
eevee,133,325,Gen 1,standard
porygon,137,395,Gen 1,standard
omanyte,138,355,Gen 1,standard
kabuto,140,355,Gen 1,standard
aerodactyl,142,515,Gen 1,standard
articuno,144,580,Gen 1,legendary
zapdos,145,580,Gen 1,legendary
moltres,146,580,Gen 1,legendary
dratini,147,300,Gen 1,standard
mewtwo,150,680,Gen 1,legendary
rapidash,78,500,Gen 1,standard
slowbro,80,490,Gen 1,standard
magneton,82,465,Gen 1,standard
dodrio,85,470,Gen 1,standard
dewgong,87,475,Gen 1,standard
muk,89,500,Gen 1,standard
cloyster,91,525,Gen 1,standard
haunter,93,405,Gen 1,standard
gengar,94,500,Gen 1,standard
hypno,97,483,Gen 1,standard
kingler,99,475,Gen 1,standard
electrode,101,490,Gen 1,standard
exeggutor,103,530,Gen 1,standard
marowak,105,425,Gen 1,standard
hitmonlee,106,455,Gen 1,standard
hitmonchan,107,455,Gen 1,standard
weezing,110,490,Gen 1,standard
rhydon,112,485,Gen 1,standard
chansey,113,450,Gen 1,standard
seadra,117,440,Gen 1,standard
seaking,119,450,Gen 1,standard
starmie,121,520,Gen 1,standard
mr-mime,122,460,Gen 1,standard
jynx,124,455,Gen 1,standard
electabuzz,125,490,Gen 1,standard
magmar,126,495,Gen 1,standard
gyarados,130,540,Gen 1,standard
