,is_default,pokemon_name,pokemon_url,id,name,is_baby,is_legendary,is_mythical,forms_switchable,has_gender_differences,gen,gen_url,BST
7,False,rattata-alola,https://pokeapi.co/api/v2/pokemon/10091/,19,rattata,False,False,False,False,True,,,253
11,False,sandshrew-alola,https://pokeapi.co/api/v2/pokemon/10101/,27,sandshrew,False,False,False,False,False,,,300
15,False,vulpix-alola,https://pokeapi.co/api/v2/pokemon/10103/,37,vulpix,False,False,False,False,False,,,299
21,False,diglett-alola,https://pokeapi.co/api/v2/pokemon/10105/,50,diglett,False,False,False,False,False,,,265
23,False,meowth-alola,https://pokeapi.co/api/v2/pokemon/10107/,52,meowth,False,False,False,False,False,,,290
24,False,meowth-galar,https://pokeapi.co/api/v2/pokemon/10161/,52,meowth,False,False,False,False,False,,,290
25,False,meowth-gmax,https://pokeapi.co/api/v2/pokemon/10200/,52,meowth,False,False,False,False,False,,,290
29,False,growlithe-hisui,https://pokeapi.co/api/v2/pokemon/10229/,58,growlithe,False,False,False,False,False,,,350
36,False,geodude-alola,https://pokeapi.co/api/v2/pokemon/10109/,74,geodude,False,False,False,False,False,,,300
38,False,venusaur-mega,https://pokeapi.co/api/v2/pokemon/10033/,3,venusaur,False,False,False,True,True,,,625
39,False,venusaur-gmax,https://pokeapi.co/api/v2/pokemon/10195/,3,venusaur,False,False,False,True,True,,,525
42,False,charizard-mega-x,https://pokeapi.co/api/v2/pokemon/10034/,6,charizard,False,False,False,True,False,,,634
43,False,charizard-mega-y,https://pokeapi.co/api/v2/pokemon/10035/,6,charizard,False,False,False,True,False,,,634
44,False,charizard-gmax,https://pokeapi.co/api/v2/pokemon/10196/,6,charizard,False,False,False,True,False,,,534
47,False,blastoise-mega,https://pokeapi.co/api/v2/pokemon/10036/,9,blastoise,False,False,False,True,False,,,630
48,False,blastoise-gmax,https://pokeapi.co/api/v2/pokemon/10197/,9,blastoise,False,False,False,True,False,,,530
51,False,butterfree-gmax,https://pokeapi.co/api/v2/pokemon/10198/,12,butterfree,False,False,False,False,True,,,395
54,False,beedrill-mega,https://pokeapi.co/api/v2/pokemon/10090/,15,beedrill,False,False,False,True,False,,,495
57,False,pidgeot-mega,https://pokeapi.co/api/v2/pokemon/10073/,18,pidgeot,False,False,False,True,False,,,579
59,False,raticate-alola,https://pokeapi.co/api/v2/pokemon/10092/,20,raticate,False,False,False,False,True,,,413
60,False,raticate-totem-alola,https://pokeapi.co/api/v2/pokemon/10093/,20,raticate,False,False,False,False,True,,,413
64,False,pikachu-rock-star,https://pokeapi.co/api/v2/pokemon/10080/,25,pikachu,False,False,False,False,True,,,320
65,False,pikachu-belle,https://pokeapi.co/api/v2/pokemon/10081/,25,pikachu,False,False,False,False,True,,,320
66,False,pikachu-pop-star,https://pokeapi.co/api/v2/pokemon/10082/,25,pikachu,False,False,False,False,True,,,320
67,False,pikachu-phd,https://pokeapi.co/api/v2/pokemon/10083/,25,pikachu,False,False,False,False,True,,,320
68,False,pikachu-libre,https://pokeapi.co/api/v2/pokemon/10084/,25,pikachu,False,False,False,False,True,,,320
69,False,pikachu-cosplay,https://pokeapi.co/api/v2/pokemon/10085/,25,pikachu,False,False,False,False,True,,,320
70,False,pikachu-original-cap,https://pokeapi.co/api/v2/pokemon/10094/,25,pikachu,False,False,False,False,True,,,320
71,False,pikachu-hoenn-cap,https://pokeapi.co/api/v2/pokemon/10095/,25,pikachu,False,False,False,False,True,,,320
72,False,pikachu-sinnoh-cap,https://pokeapi.co/api/v2/pokemon/10096/,25,pikachu,False,False,False,False,True,,,320
73,False,pikachu-unova-cap,https://pokeapi.co/api/v2/pokemon/10097/,25,pikachu,False,False,False,False,True,,,320
74,False,pikachu-kalos-cap,https://pokeapi.co/api/v2/pokemon/10098/,25,pikachu,False,False,False,False,True,,,320
75,False,pikachu-alola-cap,https://pokeapi.co/api/v2/pokemon/10099/,25,pikachu,False,False,False,False,True,,,320
76,False,pikachu-partner-cap,https://pokeapi.co/api/v2/pokemon/10148/,25,pikachu,False,False,False,False,True,,,320
77,False,pikachu-starter,https://pokeapi.co/api/v2/pokemon/10158/,25,pikachu,False,False,False,False,True,,,430
78,False,pikachu-world-cap,https://pokeapi.co/api/v2/pokemon/10160/,25,pikachu,False,False,False,False,True,,,320
79,False,pikachu-gmax,https://pokeapi.co/api/v2/pokemon/10199/,25,pikachu,False,False,False,False,True,,,320
81,False,raichu-alola,https://pokeapi.co/api/v2/pokemon/10100/,26,raichu,False,False,False,False,True,,,485
82,False,raichu-mega-x,https://pokeapi.co/api/v2/pokemon/10304/,26,raichu,False,False,False,False,True,,,585
83,False,raichu-mega-y,https://pokeapi.co/api/v2/pokemon/10305/,26,raichu,False,False,False,False,True,,,585
85,False,sandslash-alola,https://pokeapi.co/api/v2/pokemon/10102/,28,sandslash,False,False,False,False,False,,,450
92,False,clefable-mega,https://pokeapi.co/api/v2/pokemon/10278/,36,clefable,False,False,False,False,False,,,583
94,False,ninetales-alola,https://pokeapi.co/api/v2/pokemon/10104/,38,ninetales,False,False,False,False,False,,,505
103,False,dugtrio-alola,https://pokeapi.co/api/v2/pokemon/10106/,51,dugtrio,False,False,False,False,False,,,425
105,False,persian-alola,https://pokeapi.co/api/v2/pokemon/10108/,53,persian,False,False,False,False,False,,,440
109,False,arcanine-hisui,https://pokeapi.co/api/v2/pokemon/10230/,59,arcanine,False,False,False,False,False,,,555
114,False,alakazam-mega,https://pokeapi.co/api/v2/pokemon/10037/,65,alakazam,False,False,False,True,True,,,600
117,False,machamp-gmax,https://pokeapi.co/api/v2/pokemon/10201/,68,machamp,False,False,False,False,False,,,505
120,False,victreebel-mega,https://pokeapi.co/api/v2/pokemon/10279/,71,victreebel,False,False,False,False,False,,,590
123,False,graveler-alola,https://pokeapi.co/api/v2/pokemon/10110/,75,graveler,False,False,False,False,False,,,390
125,False,ponyta-galar,https://pokeapi.co/api/v2/pokemon/10162/,77,ponyta,False,False,False,False,False,,,410
127,False,slowpoke-galar,https://pokeapi.co/api/v2/pokemon/10164/,79,slowpoke,False,False,False,False,False,,,315
130,False,farfetchd-galar,https://pokeapi.co/api/v2/pokemon/10166/,83,farfetchd,False,False,False,False,False,,,377
134,False,grimer-alola,https://pokeapi.co/api/v2/pokemon/10112/,88,grimer,False,False,False,False,False,,,325
141,False,voltorb-hisui,https://pokeapi.co/api/v2/pokemon/10231/,100,voltorb,False,False,False,False,False,,,330
149,False,kangaskhan-mega,https://pokeapi.co/api/v2/pokemon/10039/,115,kangaskhan,False,False,False,True,False,,,590
155,False,pinsir-mega,https://pokeapi.co/api/v2/pokemon/10040/,127,pinsir,False,False,False,True,False,,,600
157,False,tauros-paldea-combat-breed,https://pokeapi.co/api/v2/pokemon/10250/,128,tauros,False,False,False,False,False,,,490
158,False,tauros-paldea-blaze-breed,https://pokeapi.co/api/v2/pokemon/10251/,128,tauros,False,False,False,False,False,,,490
159,False,tauros-paldea-aqua-breed,https://pokeapi.co/api/v2/pokemon/10252/,128,tauros,False,False,False,False,False,,,490
162,False,lapras-gmax,https://pokeapi.co/api/v2/pokemon/10204/,131,lapras,False,False,False,False,False,,,535
165,False,eevee-starter,https://pokeapi.co/api/v2/pokemon/10159/,133,eevee,False,False,False,False,True,,,435
166,False,eevee-gmax,https://pokeapi.co/api/v2/pokemon/10205/,133,eevee,False,False,False,False,True,,,325
171,False,aerodactyl-mega,https://pokeapi.co/api/v2/pokemon/10042/,142,aerodactyl,False,False,False,True,False,,,615
173,False,articuno-galar,https://pokeapi.co/api/v2/pokemon/10169/,144,articuno,False,True,False,False,False,,,580
175,False,zapdos-galar,https://pokeapi.co/api/v2/pokemon/10170/,145,zapdos,False,True,False,False,False,,,580
177,False,moltres-galar,https://pokeapi.co/api/v2/pokemon/10171/,146,moltres,False,True,False,False,False,,,580
180,False,mewtwo-mega-x,https://pokeapi.co/api/v2/pokemon/10043/,150,mewtwo,False,True,False,True,False,,,780
