,is_default,pokemon_name,pokemon_url,id,name,is_baby,is_legendary,is_mythical,forms_switchable,has_gender_differences,gen,gen_url,BST
42,False,charizard-mega-x,https://pokeapi.co/api/v2/pokemon/10034/,6,charizard,False,False,False,True,False,,,634
43,False,charizard-mega-y,https://pokeapi.co/api/v2/pokemon/10035/,6,charizard,False,False,False,True,False,,,634
44,False,charizard-gmax,https://pokeapi.co/api/v2/pokemon/10196/,6,charizard,False,False,False,True,False,,,534
47,False,blastoise-mega,https://pokeapi.co/api/v2/pokemon/10036/,9,blastoise,False,False,False,True,False,,,630
48,False,blastoise-gmax,https://pokeapi.co/api/v2/pokemon/10197/,9,blastoise,False,False,False,True,False,,,530
54,False,beedrill-mega,https://pokeapi.co/api/v2/pokemon/10090/,15,beedrill,False,False,False,True,False,,,495
57,False,pidgeot-mega,https://pokeapi.co/api/v2/pokemon/10073/,18,pidgeot,False,False,False,True,False,,,579
149,False,kangaskhan-mega,https://pokeapi.co/api/v2/pokemon/10039/,115,kangaskhan,False,False,False,True,False,,,590
155,False,pinsir-mega,https://pokeapi.co/api/v2/pokemon/10040/,127,pinsir,False,False,False,True,False,,,600
171,False,aerodactyl-mega,https://pokeapi.co/api/v2/pokemon/10042/,142,aerodactyl,False,False,False,True,False,,,615
180,False,mewtwo-mega-x,https://pokeapi.co/api/v2/pokemon/10043/,150,mewtwo,False,True,False,True,False,,,780
181,False,mewtwo-mega-y,https://pokeapi.co/api/v2/pokemon/10044/,150,mewtwo,False,True,False,True,False,,,780
185,False,slowbro-mega,https://pokeapi.co/api/v2/pokemon/10071/,80,slowbro,False,False,False,True,False,,,590
186,False,slowbro-galar,https://pokeapi.co/api/v2/pokemon/10165/,80,slowbro,False,False,False,True,False,,,490
195,False,gengar-mega,https://pokeapi.co/api/v2/pokemon/10038/,94,gengar,False,False,False,True,False,,,600
196,False,gengar-gmax,https://pokeapi.co/api/v2/pokemon/10202/,94,gengar,False,False,False,True,False,,,500
298,False,ampharos-mega,https://pokeapi.co/api/v2/pokemon/10045/,181,ampharos,False,False,False,True,False,,,610
350,False,tyranitar-mega,https://pokeapi.co/api/v2/pokemon/10049/,248,tyranitar,False,False,False,True,False,,,700
376,False,sceptile-mega,https://pokeapi.co/api/v2/pokemon/10065/,254,sceptile,False,False,False,True,False,,,630
382,False,swampert-mega,https://pokeapi.co/api/v2/pokemon/10064/,260,swampert,False,False,False,True,False,,,635
398,False,gardevoir-mega,https://pokeapi.co/api/v2/pokemon/10051/,282,gardevoir,False,False,False,True,False,,,618
409,False,sableye-mega,https://pokeapi.co/api/v2/pokemon/10066/,302,sableye,False,False,False,True,False,,,480
411,False,mawile-mega,https://pokeapi.co/api/v2/pokemon/10052/,303,mawile,False,False,False,True,False,,,480
440,False,castform-sunny,https://pokeapi.co/api/v2/pokemon/10013/,351,castform,False,False,False,True,False,,,420
441,False,castform-rainy,https://pokeapi.co/api/v2/pokemon/10014/,351,castform,False,False,False,True,False,,,420
442,False,castform-snowy,https://pokeapi.co/api/v2/pokemon/10015/,351,castform,False,False,False,True,False,,,420
448,False,absol-mega,https://pokeapi.co/api/v2/pokemon/10057/,359,absol,False,False,False,True,False,,,565
449,False,absol-mega-z,https://pokeapi.co/api/v2/pokemon/10307/,359,absol,False,False,False,True,False,,,565
460,False,aggron-mega,https://pokeapi.co/api/v2/pokemon/10053/,306,aggron,False,False,False,True,False,,,630
464,False,manectric-mega,https://pokeapi.co/api/v2/pokemon/10055/,310,manectric,False,False,False,True,False,,,575
468,False,sharpedo-mega,https://pokeapi.co/api/v2/pokemon/10070/,319,sharpedo,False,False,False,True,False,,,560
477,False,altaria-mega,https://pokeapi.co/api/v2/pokemon/10067/,334,altaria,False,False,False,True,False,,,590
485,False,banette-mega,https://pokeapi.co/api/v2/pokemon/10056/,354,banette,False,False,False,True,False,,,555
490,False,glalie-mega,https://pokeapi.co/api/v2/pokemon/10074/,362,glalie,False,False,False,True,False,,,580
497,False,salamence-mega,https://pokeapi.co/api/v2/pokemon/10089/,373,salamence,False,False,False,True,False,,,700
503,False,latias-mega,https://pokeapi.co/api/v2/pokemon/10062/,380,latias,False,True,False,True,False,,,700
505,False,latios-mega,https://pokeapi.co/api/v2/pokemon/10063/,381,latios,False,True,False,True,False,,,700
507,False,kyogre-primal,https://pokeapi.co/api/v2/pokemon/10077/,382,kyogre,False,True,False,True,False,,,770
509,False,groudon-primal,https://pokeapi.co/api/v2/pokemon/10078/,383,groudon,False,True,False,True,False,,,770
511,False,rayquaza-mega,https://pokeapi.co/api/v2/pokemon/10079/,384,rayquaza,False,True,False,True,False,,,780
514,False,deoxys-attack,https://pokeapi.co/api/v2/pokemon/10001/,386,deoxys,False,False,True,True,False,,,600
515,False,deoxys-defense,https://pokeapi.co/api/v2/pokemon/10002/,386,deoxys,False,False,True,True,False,,,600
516,False,deoxys-speed,https://pokeapi.co/api/v2/pokemon/10003/,386,deoxys,False,False,True,True,False,,,600
519,False,metagross-mega,https://pokeapi.co/api/v2/pokemon/10076/,376,metagross,False,False,False,True,False,,,700
578,False,lopunny-mega,https://pokeapi.co/api/v2/pokemon/10088/,428,lopunny,False,False,False,True,False,,,580
589,False,lucario-mega,https://pokeapi.co/api/v2/pokemon/10059/,448,lucario,False,False,False,True,False,,,625
590,False,lucario-mega-z,https://pokeapi.co/api/v2/pokemon/10310/,448,lucario,False,False,False,True,False,,,625
598,False,rotom-heat,https://pokeapi.co/api/v2/pokemon/10008/,479,rotom,False,False,False,True,False,,,520
599,False,rotom-wash,https://pokeapi.co/api/v2/pokemon/10009/,479,rotom,False,False,False,True,False,,,520
600,False,rotom-frost,https://pokeapi.co/api/v2/pokemon/10010/,479,rotom,False,False,False,True,False,,,520
601,False,rotom-fan,https://pokeapi.co/api/v2/pokemon/10011/,479,rotom,False,False,False,True,False,,,520
602,False,rotom-mow,https://pokeapi.co/api/v2/pokemon/10012/,479,rotom,False,False,False,True,False,,,520
614,False,giratina-origin,https://pokeapi.co/api/v2/pokemon/10007/,487,giratina,False,True,False,True,False,,,680
621,False,shaymin-sky,https://pokeapi.co/api/v2/pokemon/10006/,492,shaymin,False,False,True,True,False,,,600
640,False,gallade-mega,https://pokeapi.co/api/v2/pokemon/10068/,475,gallade,False,False,False,True,False,,,618
666,False,audino-mega,https://pokeapi.co/api/v2/pokemon/10069/,531,audino,False,False,False,True,False,,,545
746,False,darmanitan-zen,https://pokeapi.co/api/v2/pokemon/10017/,555,darmanitan,False,False,False,True,False,,,540
747,False,darmanitan-galar-standard,https://pokeapi.co/api/v2/pokemon/10177/,555,darmanitan,False,False,False,True,False,,,480
748,False,darmanitan-galar-zen,https://pokeapi.co/api/v2/pokemon/10178/,555,darmanitan,False,False,False,True,False,,,540
799,False,tornadus-therian,https://pokeapi.co/api/v2/pokemon/10019/,641,tornadus,False,True,False,True,False,,,580
801,False,thundurus-therian,https://pokeapi.co/api/v2/pokemon/10020/,642,thundurus,False,True,False,True,False,,,580
805,False,landorus-therian,https://pokeapi.co/api/v2/pokemon/10021/,645,landorus,False,True,False,True,False,,,600
807,False,kyurem-black,https://pokeapi.co/api/v2/pokemon/10022/,646,kyurem,False,True,False,True,False,,,700
808,False,kyurem-white,https://pokeapi.co/api/v2/pokemon/10023/,646,kyurem,False,True,False,True,False,,,700
810,False,keldeo-resolute,https://pokeapi.co/api/v2/pokemon/10024/,647,keldeo,False,False,True,True,False,,,580
812,False,meloetta-pirouette,https://pokeapi.co/api/v2/pokemon/10018/,648,meloetta,False,False,True,True,False,,,600
879,False,aegislash-blade,https://pokeapi.co/api/v2/pokemon/10026/,681,aegislash,False,False,False,True,False,,,500
910,False,diancie-mega,https://pokeapi.co/api/v2/pokemon/10075/,719,diancie,False,False,True,True,False,,,700
1155,False,enamorus-therian,https://pokeapi.co/api/v2/pokemon/10249/,905,enamorus,False,True,False,True,False,,,580
