is_default,pokemon_name,pokemon_url,id,name,is_baby,is_legendary,is_mythical,forms_switchable,has_gender_differences,gen,gen_url,BST
True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,318
True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,309
True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,314
True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195
True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,195
True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,251
True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,253
False,rattata-alola,https://pokeapi.co/api/v2/pokemon/10091/,19,rattata,False,False,False,False,True,,,253
True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,262
True,ekans,https://pokeapi.co/api/v2/pokemon/23/,23,ekans,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,288
True,sandshrew,https://pokeapi.co/api/v2/pokemon/27/,27,sandshrew,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,300
False,sandshrew-alola,https://pokeapi.co/api/v2/pokemon/10101/,27,sandshrew,False,False,False,False,False,,,300
True,nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,29,nidoran-f,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,275
True,nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,32,nidoran-m,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,273
True,vulpix,https://pokeapi.co/api/v2/pokemon/37/,37,vulpix,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,299
False,vulpix-alola,https://pokeapi.co/api/v2/pokemon/10103/,37,vulpix,False,False,False,False,False,,,299
True,zubat,https://pokeapi.co/api/v2/pokemon/41/,41,zubat,False,False,False,False,True,generation-i,https://pokeapi.co/api/v2/generation/1/,245
True,oddish,https://pokeapi.co/api/v2/pokemon/43/,43,oddish,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,320
True,paras,https://pokeapi.co/api/v2/pokemon/46/,46,paras,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,285
True,venonat,https://pokeapi.co/api/v2/pokemon/48/,48,venonat,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,305
True,diglett,https://pokeapi.co/api/v2/pokemon/50/,50,diglett,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,265
False,diglett-alola,https://pokeapi.co/api/v2/pokemon/10105/,50,diglett,False,False,False,False,False,,,265
True,meowth,https://pokeapi.co/api/v2/pokemon/52/,52,meowth,False,False,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/,290
False,meowth-alola,https://pokeapi.co/api/v2/pokemon/10107/,52,meowth,False,False,False,False,False,,,290
False,meowth-galar,https://pokeapi.co/api/v2/pokemon/10161/,52,meowth,False,False,False,False,False,,,290
False,meowth-gmax,https://pokeapi.co/api/v2/pokemon/10200/,52,meowth,False,False,False,False,False,,,290
