,is_default,pokemon_name,pokemon_url,id,name,is_baby,is_legendary,is_mythical,gen,gen_url
0,True,bulbasaur,https://pokeapi.co/api/v2/pokemon/1/,1,bulbasaur,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
1,True,charmander,https://pokeapi.co/api/v2/pokemon/4/,4,charmander,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
2,True,squirtle,https://pokeapi.co/api/v2/pokemon/7/,7,squirtle,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
3,True,caterpie,https://pokeapi.co/api/v2/pokemon/10/,10,caterpie,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
4,True,weedle,https://pokeapi.co/api/v2/pokemon/13/,13,weedle,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
5,True,pidgey,https://pokeapi.co/api/v2/pokemon/16/,16,pidgey,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
6,True,rattata,https://pokeapi.co/api/v2/pokemon/19/,19,rattata,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
7,False,rattata-alola,https://pokeapi.co/api/v2/pokemon/10091/,19,rattata,False,False,False,,
8,True,spearow,https://pokeapi.co/api/v2/pokemon/21/,21,spearow,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
9,True,ekans,https://pokeapi.co/api/v2/pokemon/23/,23,ekans,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
10,True,sandshrew,https://pokeapi.co/api/v2/pokemon/27/,27,sandshrew,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
11,False,sandshrew-alola,https://pokeapi.co/api/v2/pokemon/10101/,27,sandshrew,False,False,False,,
12,True,nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,29,nidoran-f,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
13,True,nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,32,nidoran-m,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
14,True,vulpix,https://pokeapi.co/api/v2/pokemon/37/,37,vulpix,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
15,False,vulpix-alola,https://pokeapi.co/api/v2/pokemon/10103/,37,vulpix,False,False,False,,
16,True,zubat,https://pokeapi.co/api/v2/pokemon/41/,41,zubat,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
17,True,oddish,https://pokeapi.co/api/v2/pokemon/43/,43,oddish,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
18,True,paras,https://pokeapi.co/api/v2/pokemon/46/,46,paras,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
19,True,venonat,https://pokeapi.co/api/v2/pokemon/48/,48,venonat,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
20,True,diglett,https://pokeapi.co/api/v2/pokemon/50/,50,diglett,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
21,False,diglett-alola,https://pokeapi.co/api/v2/pokemon/10105/,50,diglett,False,False,False,,
22,True,meowth,https://pokeapi.co/api/v2/pokemon/52/,52,meowth,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
23,False,meowth-alola,https://pokeapi.co/api/v2/pokemon/10107/,52,meowth,False,False,False,,
24,False,meowth-galar,https://pokeapi.co/api/v2/pokemon/10161/,52,meowth,False,False,False,,
25,False,meowth-gmax,https://pokeapi.co/api/v2/pokemon/10200/,52,meowth,False,False,False,,
26,True,psyduck,https://pokeapi.co/api/v2/pokemon/54/,54,psyduck,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
27,True,mankey,https://pokeapi.co/api/v2/pokemon/56/,56,mankey,False,False,False,generation-i,https://pokeapi.co/api/v2/generation/1/
