base_stat,effort,stat_name,stat_url,id,name
45,0,hp,https://pokeapi.co/api/v2/stat/1/,1,bulbasaur
49,0,attack,https://pokeapi.co/api/v2/stat/2/,1,bulbasaur
49,0,defense,https://pokeapi.co/api/v2/stat/3/,1,bulbasaur
65,1,special-attack,https://pokeapi.co/api/v2/stat/4/,1,bulbasaur
65,0,special-defense,https://pokeapi.co/api/v2/stat/5/,1,bulbasaur
45,0,speed,https://pokeapi.co/api/v2/stat/6/,1,bulbasaur
39,0,hp,https://pokeapi.co/api/v2/stat/1/,4,charmander
52,0,attack,https://pokeapi.co/api/v2/stat/2/,4,charmander
43,0,defense,https://pokeapi.co/api/v2/stat/3/,4,charmander
60,0,special-attack,https://pokeapi.co/api/v2/stat/4/,4,charmander
50,0,special-defense,https://pokeapi.co/api/v2/stat/5/,4,charmander
65,1,speed,https://pokeapi.co/api/v2/stat/6/,4,charmander
44,0,hp,https://pokeapi.co/api/v2/stat/1/,7,squirtle
48,0,attack,https://pokeapi.co/api/v2/stat/2/,7,squirtle
65,1,defense,https://pokeapi.co/api/v2/stat/3/,7,squirtle
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,7,squirtle
64,0,special-defense,https://pokeapi.co/api/v2/stat/5/,7,squirtle
43,0,speed,https://pokeapi.co/api/v2/stat/6/,7,squirtle
45,1,hp,https://pokeapi.co/api/v2/stat/1/,10,caterpie
30,0,attack,https://pokeapi.co/api/v2/stat/2/,10,caterpie
35,0,defense,https://pokeapi.co/api/v2/stat/3/,10,caterpie
20,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10,caterpie
20,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10,caterpie
45,0,speed,https://pokeapi.co/api/v2/stat/6/,10,caterpie
40,0,hp,https://pokeapi.co/api/v2/stat/1/,13,weedle
35,0,attack,https://pokeapi.co/api/v2/stat/2/,13,weedle
30,0,defense,https://pokeapi.co/api/v2/stat/3/,13,weedle
20,0,special-attack,https://pokeapi.co/api/v2/stat/4/,13,weedle
20,0,special-defense,https://pokeapi.co/api/v2/stat/5/,13,weedle
50,1,speed,https://pokeapi.co/api/v2/stat/6/,13,weedle
40,0,hp,https://pokeapi.co/api/v2/stat/1/,16,pidgey
